Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff
0.0,0.9979166666666667,1.0,83.0,49.0,0.0,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
1.0,0.9979166666666667,1.0,79.0,49.0,0.666667,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
2.0,0.9979166666666667,1.0,83.0,49.0,1.333334,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
3.0,0.9979166666666667,1.0,79.0,49.0,2.000001,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
4.0,0.9979166666666667,1.0,81.0,49.0,2.666668,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
5.0,0.9979166666666667,1.0,76.0,49.0,3.333335,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
6.0,0.9979166666666667,1.0,81.0,49.0,4.000002,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
7.0,0.9979166666666667,1.0,76.0,49.0,4.666669,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
8.0,0.9979166666666667,1.0,78.0,49.0,5.333336,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
9.0,0.9979166666666667,1.0,74.0,49.0,6.000003,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
10.0,1.9979166666666666,1.0,78.0,49.0,6.66667,1.3319451104166666,4/4,4,4,1,G,major,89.9999550000225,0,0
11.0,0.9979166666666667,1.0,67.0,49.0,7.333337,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
12.0,0.9979166666666667,1.0,76.0,49.0,8.000004,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
13.0,0.9979166666666667,1.0,72.0,49.0,8.666671,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
14.0,1.9979166666666666,1.0,76.0,49.0,9.333338,1.3319451104166666,4/4,4,4,1,G,major,89.9999550000225,0,0
15.0,0.9979166666666667,1.0,62.0,49.0,10.000005,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
16.0,0.4979166666666667,1.0,76.0,49.0,10.666672,0.3319446104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
16.5,0.4979166666666667,1.0,72.0,54.0,11.0000055,0.3319446104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
17.0,0.4979166666666667,1.0,67.0,60.0,11.333339,0.3319446104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
17.5,0.4979166666666667,1.0,62.0,65.0,11.6666725,0.3319446104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
18.0,0.4979166666666667,1.0,67.0,71.0,12.000006,0.3319446104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
18.5,0.4979166666666667,1.0,62.0,76.0,12.3333395,0.3319446104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
19.0,0.4979166666666667,1.0,57.0,82.0,12.666673,0.3319446104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
19.5,0.4979166666666667,1.0,58.0,88.0,13.0000065,0.3319446104166667,4/4,4,4,1,G,major,89.9999550000225,0,0
20.0,3.997916666666667,1.0,52.0,88.0,13.33334,1.6657999437500002,4/4,4,4,1,G,major,143.99988480009216,0,0
20.5,0.4979166666666667,1.0,71.0,88.0,13.5416735,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
21.0,0.9979166666666667,1.0,71.0,88.0,13.750007,0.41579894375,4/4,4,4,1,G,major,143.99988480009216,0,0
21.0,0.4979166666666667,1.0,71.0,88.0,13.750007,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
21.5,0.4979166666666667,1.0,71.0,88.0,13.9583405,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
22.0,0.9979166666666667,1.0,70.0,88.0,14.166674,0.41579894375,4/4,4,4,1,G,major,143.99988480009216,0,0
22.0,0.4979166666666667,1.0,70.0,88.0,14.166674,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
22.5,0.4979166666666667,1.0,71.0,88.0,14.3750075,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
23.0,0.9979166666666667,1.0,71.0,88.0,14.583341,0.41579894375,4/4,4,4,1,G,major,143.99988480009216,0,0
23.0,0.4979166666666667,1.0,71.0,88.0,14.583341,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
23.5,0.4979166666666667,1.0,71.0,88.0,14.7916745,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
24.0,3.997916666666667,1.0,52.0,88.0,15.000008,1.6657999437500002,4/4,4,4,1,G,major,143.99988480009216,0,0
24.5,0.4979166666666667,1.0,71.0,88.0,15.2083415,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
25.0,0.9979166666666667,1.0,70.0,88.0,15.416675,0.41579894375,4/4,4,4,1,G,major,143.99988480009216,0,0
25.0,0.4979166666666667,1.0,70.0,88.0,15.416675,0.20746544375,4/4,4,4,1,G,major,143.99988480009216,0,0
