Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo
0.0,0.9979166666666667,1.0,83.0,49.0,0.9520181405895691,0.8110052910052912,4/4,4,4,1,G,major,73.82812499999999
1.0,0.9979166666666667,1.0,79.0,49.0,1.7647165532879818,0.6951473922902494,4/4,4,4,1,G,major,86.13281250000001
2.0,0.9979166666666667,1.0,83.0,49.0,2.461315192743764,0.6719758125472411,4/4,4,4,1,G,major,89.10290948275862
3.0,0.9979166666666667,1.0,79.0,49.0,3.1346938775510202,0.7646621315192748,4/4,4,4,1,G,major,78.30255681818178
4.0,0.9979166666666667,1.0,81.0,49.0,3.900952380952381,0.9268631897203331,4/4,4,4,1,G,major,64.59960937499996
5.0,0.9979166666666667,1.0,76.0,49.0,4.829750566893424,0.5561179138321992,4/4,4,4,1,G,major,107.66601562500007
6.0,0.9979166666666667,1.0,81.0,49.0,5.38702947845805,0.8110052910052916,4/4,4,4,1,G,major,73.82812499999994
7.0,0.9979166666666667,1.0,76.0,49.0,6.199727891156463,0.8110052910052904,4/4,4,4,1,G,major,73.82812500000006
8.0,0.9979166666666667,1.0,78.0,49.0,7.012426303854875,0.7646621315192748,4/4,4,4,1,G,major,78.30255681818178
9.0,0.9979166666666667,1.0,74.0,49.0,7.778684807256236,0.741490551776267,4/4,4,4,1,G,major,80.74951171874989
10.0,1.9979166666666666,1.0,78.0,49.0,8.52172335600907,1.5773121693121688,4/4,4,4,1,G,major,75.99954044117649
11.0,0.9979166666666667,1.0,67.0,49.0,9.311201814058958,0.6024610733182159,4/4,4,4,1,G,major,99.38401442307698
12.0,0.9979166666666667,1.0,76.0,49.0,9.914920634920636,0.6951473922902511,4/4,4,4,1,G,major,86.13281249999979
13.0,0.9979166666666667,1.0,72.0,49.0,10.611519274376418,0.8805200302343141,4/4,4,4,1,G,major,67.99958881578961
14.0,1.9979166666666666,1.0,76.0,49.0,11.493877551020407,1.3453544973544993,4/4,4,4,1,G,major,89.10290948275848
15.0,0.9979166666666667,1.0,62.0,49.0,12.167256235827665,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872
16.0,0.4979166666666667,1.0,76.0,49.0,12.84063492063492,0.4162176870748294,4/4,4,4,1,G,major,71.7773437500001
16.5,0.4979166666666667,1.0,72.0,54.0,13.25859410430839,0.4162176870748294,4/4,4,4,1,G,major,71.7773437500001
17.0,0.4979166666666667,1.0,67.0,60.0,13.676553287981859,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017
17.5,0.4979166666666667,1.0,62.0,65.0,14.001632653061224,0.32372486772486886,4/4,4,4,1,G,major,92.28515624999969
18.0,0.4979166666666667,1.0,67.0,71.0,14.32671201814059,0.18498563869992557,4/4,4,4,1,G,major,161.49902343749898
18.5,0.4979166666666667,1.0,62.0,76.0,14.512471655328799,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017
19.0,0.4979166666666667,1.0,57.0,82.0,14.837551020408164,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017
19.5,0.4979166666666667,1.0,58.0,88.0,15.162630385487528,0.3468480725623581,4/4,4,4,1,G,major,86.13281250000004
20.0,3.997916666666667,1.0,52.0,88.0,15.51092970521542,1.6709659863945625,4/4,4,4,1,G,major,143.5546874999996
20.5,0.4979166666666667,1.0,71.0,88.0,15.719909297052155,0.06936961451247126,4/4,4,4,1,G,major,430.6640625000025
21.0,0.9979166666666667,1.0,71.0,88.0,15.789569160997733,0.13902947845804908,4/4,4,4,1,G,major,430.6640625000025
21.0,0.4979166666666667,1.0,71.0,88.0,15.789569160997733,0.1618624338624335,4/4,4,4,1,G,major,184.5703125000004
21.5,0.4979166666666667,1.0,71.0,88.0,15.952108843537415,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996
22.0,0.9979166666666667,1.0,70.0,88.0,16.16108843537415,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996
22.0,0.4979166666666667,1.0,70.0,88.0,16.16108843537415,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085
22.5,0.4979166666666667,1.0,71.0,88.0,16.370068027210884,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085
23.0,0.9979166666666667,1.0,71.0,88.0,16.579047619047618,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
23.0,0.4979166666666667,1.0,71.0,88.0,16.579047619047618,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716
23.5,0.4979166666666667,1.0,71.0,88.0,16.788027210884355,0.18498563869992452,4/4,4,4,1,G,major,161.49902343749991
24.0,3.997916666666667,1.0,52.0,88.0,16.973786848072564,1.1139773242630322,4/4,4,4,1,G,major,215.33203125000122
24.5,0.4979166666666667,1.0,71.0,88.0,17.11310657596372,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085
