Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo
0.0,0.9979166666666667,1.0,83.0,49.0,1.0448979591836736,0.6951473922902494,4/4,4,4,1,G,major,86.13281250000001
1.0,0.9979166666666667,1.0,79.0,49.0,1.7414965986394557,0.6256326530612247,4/4,4,4,1,G,major,95.70312499999997
2.0,0.9979166666666667,1.0,83.0,49.0,2.36843537414966,0.7183189720332578,4/4,4,4,1,G,major,83.35433467741935
3.0,0.9979166666666667,1.0,79.0,49.0,3.0882539682539685,0.6256326530612246,4/4,4,4,1,G,major,95.70312499999999
4.0,0.9979166666666667,1.0,81.0,49.0,3.7151927437641725,0.8341768707482994,4/4,4,4,1,G,major,71.77734375
5.0,0.9979166666666667,1.0,76.0,49.0,4.551111111111111,0.5561179138321992,4/4,4,4,1,G,major,107.66601562500007
6.0,0.9979166666666667,1.0,81.0,49.0,5.108390022675737,0.7646621315192749,4/4,4,4,1,G,major,78.30255681818177
7.0,0.9979166666666667,1.0,76.0,49.0,5.874648526077097,0.6719758125472413,4/4,4,4,1,G,major,89.1029094827586
8.0,0.9979166666666667,1.0,78.0,49.0,6.548027210884354,0.6951473922902491,4/4,4,4,1,G,major,86.13281250000004
9.0,0.9979166666666667,1.0,74.0,49.0,7.244625850340136,0.69514739229025,4/4,4,4,1,G,major,86.13281249999993
10.0,1.9979166666666666,1.0,78.0,49.0,7.9412244897959186,1.5309206349206355,4/4,4,4,1,G,major,78.30255681818178
11.0,0.9979166666666667,1.0,67.0,49.0,8.70748299319728,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872
12.0,0.9979166666666667,1.0,76.0,49.0,9.380861678004536,0.6488042328042334,4/4,4,4,1,G,major,92.28515624999991
13.0,0.9979166666666667,1.0,72.0,49.0,10.031020408163265,0.6488042328042334,4/4,4,4,1,G,major,92.28515624999991
14.0,1.9979166666666666,1.0,76.0,49.0,10.681179138321996,1.6700952380952359,4/4,4,4,1,G,major,71.7773437500001
15.0,0.9979166666666667,1.0,62.0,49.0,11.517097505668934,0.6488042328042334,4/4,4,4,1,G,major,92.28515624999991
16.0,0.4979166666666667,1.0,76.0,49.0,12.167256235827665,0.3699712773998474,4/4,4,4,1,G,major,80.74951171875031
16.5,0.4979166666666667,1.0,72.0,54.0,12.538775510204081,0.36997127739984914,4/4,4,4,1,G,major,80.74951171874993
17.0,0.4979166666666667,1.0,67.0,60.0,12.910294784580499,0.32372486772486714,4/4,4,4,1,G,major,92.28515625000017
17.5,0.4979166666666667,1.0,62.0,65.0,13.235374149659863,0.3006016628873779,4/4,4,4,1,G,major,99.38401442307668
18.0,0.4979166666666667,1.0,67.0,71.0,13.537233560090703,0.04624640967498051,4/4,4,4,1,G,major,645.9960937500083
18.5,0.4979166666666667,1.0,62.0,76.0,13.583673469387755,0.32372486772486886,4/4,4,4,1,G,major,92.28515624999969
19.0,0.4979166666666667,1.0,57.0,82.0,13.908752834467121,0.09249281934996052,4/4,4,4,1,G,major,322.99804687500585
19.5,0.4979166666666667,1.0,58.0,88.0,14.001632653061224,0.32372486772486886,4/4,4,4,1,G,major,92.28515624999969
20.0,3.997916666666667,1.0,52.0,88.0,14.32671201814059,1.670965986394548,4/4,4,4,1,G,major,143.55468750000085
20.5,0.4979166666666667,1.0,71.0,88.0,14.535691609977324,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996
21.0,0.9979166666666667,1.0,71.0,88.0,14.744671201814059,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996
21.0,0.4979166666666667,1.0,71.0,88.0,14.744671201814059,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996
21.5,0.4979166666666667,1.0,71.0,88.0,14.953650793650795,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085
22.0,0.9979166666666667,1.0,70.0,88.0,15.162630385487528,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
22.0,0.4979166666666667,1.0,70.0,88.0,15.162630385487528,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996
22.5,0.4979166666666667,1.0,71.0,88.0,15.371609977324264,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085
23.0,0.9979166666666667,1.0,71.0,88.0,15.580589569160997,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
23.0,0.4979166666666667,1.0,71.0,88.0,15.580589569160997,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984
23.5,0.4979166666666667,1.0,71.0,88.0,15.789569160997733,0.18498563869992452,4/4,4,4,1,G,major,161.49902343749991
24.0,3.997916666666667,1.0,52.0,88.0,15.975328798185942,1.670965986394548,4/4,4,4,1,G,major,143.55468750000085
24.5,0.4979166666666667,1.0,71.0,88.0,16.184308390022675,0.20810884353741374,4/4,4,4,1,G,major,143.55468750000085
25.0,0.9979166666666667,1.0,70.0,88.0,16.39328798185941,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085
25.0,0.4979166666666667,1.0,70.0,88.0,16.39328798185941,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984
25.5,0.4979166666666667,1.0,71.0,88.0,16.602267573696146,0.18498563869992452,4/4,4,4,1,G,major,161.49902343749991
26.0,0.9979166666666667,1.0,69.0,88.0,16.788027210884355,0.3707452758881332,4/4,4,4,1,G,major,161.49902343749991
26.0,0.4979166666666667,1.0,69.0,88.0,16.788027210884355,0.06936961451247126,4/4,4,4,1,G,major,430.6640625000025
26.5,0.4979166666666667,1.0,71.0,88.0,16.857687074829933,0.16186243386243312,4/4,4,4,1,G,major,184.57031250000085
27.0,0.9979166666666667,1.0,67.0,88.0,17.020226757369613,0.32440211640211486,4/4,4,4,1,G,major,184.57031250000088
27.0,0.4979166666666667,1.0,67.0,88.0,17.020226757369613,0.11561602418745227,4/4,4,4,1,G,major,258.3984375000011
27.5,0.4979166666666667,1.0,71.0,88.0,17.136326530612244,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205
28.0,3.997916666666667,1.0,52.0,88.0,17.345306122448978,1.670965986394591,4/4,4,4,1,G,major,143.55468749999716
28.5,0.4979166666666667,1.0,71.0,88.0,17.554285714285715,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996
29.0,0.9979166666666667,1.0,71.0,88.0,17.76326530612245,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996
29.0,0.4979166666666667,1.0,71.0,88.0,17.76326530612245,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205
29.5,0.4979166666666667,1.0,71.0,88.0,17.972244897959182,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716
30.0,0.9979166666666667,1.0,70.0,88.0,18.18122448979592,0.4170884353741579,4/4,4,4,1,G,major,143.5546874999972
30.0,0.4979166666666667,1.0,70.0,88.0,18.18122448979592,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996
30.5,0.4979166666666667,1.0,71.0,88.0,18.390204081632653,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205
31.0,0.9979166666666667,1.0,71.0,88.0,18.599183673469387,0.4170884353741437,4/4,4,4,1,G,major,143.55468750000205
31.0,0.4979166666666667,1.0,71.0,88.0,18.599183673469387,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996
31.5,0.4979166666666667,1.0,71.0,88.0,18.808163265306124,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996
32.0,3.997916666666667,1.0,52.0,88.0,19.017142857142858,0.9283144368858776,4/4,4,4,1,G,major,258.39843749999665
32.5,0.4979166666666667,1.0,71.0,88.0,19.13324263038549,0.13873922902494132,4/4,4,4,1,G,major,215.3320312500031
33.0,0.9979166666666667,1.0,74.0,88.0,19.272562358276645,0.2780589569160957,4/4,4,4,1,G,major,215.33203125000315
33.0,0.4979166666666667,1.0,74.0,88.0,19.272562358276645,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205
33.5,0.4979166666666667,1.0,71.0,88.0,19.481541950113378,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716
34.0,0.9979166666666667,1.0,73.0,88.0,19.690521541950112,0.4170884353741579,4/4,4,4,1,G,major,143.5546874999972
34.0,0.4979166666666667,1.0,73.0,88.0,19.690521541950112,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996
34.5,0.4979166666666667,1.0,71.0,88.0,19.89950113378685,0.208108843537412,4/4,4,4,1,G,major,143.55468750000205
35.0,0.9979166666666667,1.0,72.0,88.0,20.108480725623583,0.4170884353741437,4/4,4,4,1,G,major,143.55468750000205
35.0,0.4979166666666667,1.0,72.0,88.0,20.108480725623583,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996
35.5,0.4979166666666667,1.0,71.0,88.0,20.317460317460316,0.2081088435374191,4/4,4,4,1,G,major,143.55468749999716
36.0,3.997916666666667,1.0,57.0,88.0,20.526439909297054,0.9283144368858334,4/4,4,4,1,G,major,258.398437500009
36.5,0.4979166666666667,1.0,76.0,88.0,20.64253968253968,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996
37.0,0.9979166666666667,1.0,72.0,88.0,20.851519274376418,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996
37.0,0.4979166666666667,1.0,72.0,88.0,20.851519274376418,0.20810884353741554,4/4,4,4,1,G,major,143.5546874999996
