Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff
0.0,0.9979166666666667,1.0,83.0,49.0,0.7894784580498866,1.112235827664399,4/4,4,4,1,G,major,53.8330078125,0.7894784580498866,0.44695771724773237
1.0,0.9979166666666667,1.0,79.0,49.0,1.9040362811791383,0.8110052910052913,4/4,4,4,1,G,major,73.82812499999997,1.2373692811791384,0.14572718058862455
2.0,0.9979166666666667,1.0,83.0,49.0,2.716734693877551,1.1122358276643987,4/4,4,4,1,G,major,53.83300781250002,1.3834006938775512,0.4469577172477319
3.0,0.9979166666666667,1.0,79.0,49.0,3.8312925170068026,0.718318972033258,4/4,4,4,1,G,major,83.35433467741933,1.8312915170068025,0.05304086161659127
4.0,0.9979166666666667,1.0,81.0,49.0,4.551111111111111,1.112235827664399,4/4,4,4,1,G,major,53.8330078125,1.884443111111111,0.44695771724773237
5.0,0.9979166666666667,1.0,76.0,49.0,5.6656689342403626,0.8573484504913071,4/4,4,4,1,G,major,69.83741554054058,2.3323339342403626,0.1920703400746404
6.0,0.9979166666666667,1.0,81.0,49.0,6.524807256235827,0.8341768707483004,4/4,4,4,1,G,major,71.7773437499999,2.524805256235827,0.16889876033163365
7.0,0.9979166666666667,1.0,76.0,49.0,7.360725623582766,1.181750566893423,4/4,4,4,1,G,major,50.666360294117695,2.6940566235827665,0.5164724564767562
8.0,0.9979166666666667,1.0,78.0,49.0,8.544943310657596,0.8805200302343159,4/4,4,4,1,G,major,67.99958881578948,3.2116073106575955,0.21524191981764917
9.0,0.9979166666666667,1.0,74.0,49.0,9.427301587301587,0.9036916099773259,4/4,4,4,1,G,major,66.2560096153845,3.4272985873015864,0.23841349956065916
10.0,1.9979166666666666,1.0,78.0,49.0,10.332879818594105,1.9020529100529089,4/4,4,4,1,G,major,63.0240091463415,3.6662098185941048,0.5701077996362423
