Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS
0.0,0.9979166666666667,1.0,83.0,49.0,0.9752380952380952,0.9732063492063493,4/4,4,4,1,G,major,61.5234375,0.9752380952380952,0.30792823878968256,0.011158156741404458
1.0,0.9979166666666667,1.0,79.0,49.0,1.9504761904761905,0.8110052910052913,4/4,4,4,1,G,major,73.82812499999997,1.2838091904761906,0.14572718058862455,0.024828284444960103
2.0,0.9979166666666667,1.0,83.0,49.0,2.7631746031746034,0.8805200302343158,4/4,4,4,1,G,major,67.9995888157895,1.4298406031746034,0.21524191981764906,0.01670132084709067
3.0,0.9979166666666667,1.0,79.0,49.0,3.645532879818594,0.6719758125472408,4/4,4,4,1,G,major,89.10290948275866,1.645531879818594,0.006697702130574079,0.01355493146088566
4.0,0.9979166666666667,1.0,81.0,49.0,4.31891156462585,1.0658926681783834,4/4,4,4,1,G,major,56.17357336956517,1.65224356462585,0.4006145577617166,0.02034275750504722
5.0,0.9979166666666667,1.0,76.0,49.0,5.38702947845805,0.8341768707482984,4/4,4,4,1,G,major,71.77734375000009,2.05369447845805,0.16889876033163165,0.017783521910256707
6.0,0.9979166666666667,1.0,81.0,49.0,6.222947845804988,0.8110052910052925,4/4,4,4,1,G,major,73.82812499999987,2.222945845804988,0.14572718058862577,0.010125541718190237
7.0,0.9979166666666667,1.0,76.0,49.0,7.035646258503402,0.9036916099773237,4/4,4,4,1,G,major,66.25600961538467,2.368977258503402,0.23841349956065694,0.009166446137964435
8.0,0.9979166666666667,1.0,78.0,49.0,7.9412244897959186,0.8573484504913063,4/4,4,4,1,G,major,69.83741554054066,2.6078884897959185,0.19207034007463952,0.02691290151256055
9.0,0.9979166666666667,1.0,74.0,49.0,8.800362811791382,1.0890642479213928,4/4,4,4,1,G,major,54.97839095744671,2.800359811791382,0.42378613750472605,0.034874905762309866
