Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS,Nominal
0.0,0.9979166666666668,1.0,83.0,49.0,0.9520181405895692,1.1122358276643995,4/4,4,4,1,G,major,53.83300781249998,0.9520181405895692,0.4469577172477328,0.0083415512954069,N
1.0,0.9979166666666668,1.0,79.0,49.0,2.066575963718821,0.6719758125472413,4/4,4,4,1,G,major,89.1029094827586,1.3999089637188211,0.0066977021305745,0.0064532592438291,P
2.0,0.9979166666666668,1.0,83.0,49.0,2.7399546485260773,1.2976084656084654,4/4,4,4,1,G,major,46.14257812500001,1.4066206485260773,0.6323303551917987,0.0084895874876512,P
3.0,0.9979166666666668,1.0,79.0,49.0,4.040272108843538,0.6488042328042329,4/4,4,4,1,G,major,92.28515625,2.040271108843537,-0.0164738776124337,0.0018931924563739,P
4.0,0.9979166666666668,1.0,81.0,49.0,4.690430839002268,1.0658926681783825,4/4,4,4,1,G,major,56.17357336956522,2.023762839002268,0.4006145577617157,0.012451149572113,P
5.0,0.9979166666666668,1.0,76.0,49.0,5.758548752834467,0.6719758125472413,4/4,4,4,1,G,major,89.1029094827586,2.425213752834467,0.0066977021305745,0.0091798273085577,P
6.0,0.9979166666666668,1.0,81.0,49.0,6.431927437641724,1.2049221466364333,4/4,4,4,1,G,major,49.69200721153842,2.4319254376417234,0.5396440362197665,0.0079176406304406,P
7.0,0.9979166666666668,1.0,76.0,49.0,7.63936507936508,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872,2.97269607936508,0.0066977021305736,0.0031788264034123,P
8.0,0.9979166666666668,1.0,78.0,49.0,8.312743764172335,1.0195495086923652,4/4,4,4,1,G,major,58.7269176136364,2.9794077641723358,0.3542713982756984,0.0185383024458807,P
9.0,0.9979166666666668,1.0,74.0,49.0,9.334421768707482,0.8805200302343171,4/4,4,4,1,G,major,67.99958881578938,3.334418768707482,0.2152419198176504,0.0139690131184906,P
10.0,1.9979166666666663,1.0,78.0,49.0,10.216780045351474,2.041227513227512,4/4,4,4,1,G,major,58.7269176136364,3.550110045351474,0.7092824028108451,0.0127600122150777,P
11.0,0.9979166666666668,1.0,67.0,49.0,11.23845804988662,0.8805200302343159,4/4,4,4,1,G,major,67.99958881578948,3.905121049886621,0.2152419198176491,0.0063864401577643,P
12.0,0.9979166666666668,1.0,76.0,49.0,12.120816326530612,0.9963779289493608,4/4,4,4,1,G,major,60.092659883720735,4.120812326530611,0.331099818532694,0.0239838423936795,P
13.0,0.9979166666666668,1.0,72.0,49.0,13.119274376417234,0.8341768707482984,4/4,4,4,1,G,major,71.77734375000009,4.452603376417235,0.1688987603316316,0.0254081044190584,P
14.0,1.9979166666666663,1.0,76.0,49.0,13.955192743764172,2.134010582010582,4/4,4,4,1,G,major,56.17357336956522,4.621854743764173,0.8020654715939153,0.0124110409284753,P
15.0,0.9979166666666668,1.0,62.0,49.0,15.023310657596372,0.6719758125472404,4/4,4,4,1,G,major,89.10290948275872,5.023305657596373,0.0066977021305736,0.006632951984974,P
16.0,0.4979166666666667,1.0,76.0,49.0,15.696689342403628,0.5549569160997719,4/4,4,4,1,G,major,53.83300781250013,5.030017342403628,0.2230123056831052,0.009415698319948,P
16.5,0.4979166666666667,1.0,72.0,54.0,16.253968253968253,0.3468480725623599,4/4,4,4,1,G,major,86.1328124999996,5.253962753968253,0.0149034621456932,0.0401337950403287,P
17.0,0.4979166666666667,1.0,67.0,60.0,16.602267573696146,0.3237248677248671,4/4,4,4,1,G,major,92.28515625000016,5.2689285736961455,-0.0082197426917995,0.060639055689543,P
17.5,0.4979166666666667,1.0,62.0,65.0,16.92734693877551,0.3237248677248671,4/4,4,4,1,G,major,92.28515625000016,5.26067443877551,-0.0082197426917995,0.0320704115409122,P
18.0,0.4979166666666667,1.0,67.0,71.0,17.252426303854875,0.3468480725623582,4/4,4,4,1,G,major,86.13281250000001,5.2524203038548745,0.0149034621456915,0.0654135929438737,P
18.5,0.4979166666666667,1.0,62.0,76.0,17.600725623582765,0.3237248677248706,4/4,4,4,1,G,major,92.28515624999918,5.2673861235827655,-0.008219742691796,0.0486389033747185,P
19.0,0.4979166666666667,1.0,57.0,82.0,17.925804988662133,0.3237248677248671,4/4,4,4,1,G,major,92.28515625000016,5.2591319886621335,-0.0082197426917995,0.0542581556650206,P
19.5,0.4979166666666667,1.0,58.0,88.0,18.250884353741498,0.3468480725623563,4/4,4,4,1,G,major,86.13281250000048,5.250877853741498,0.0149034621456896,0.05437477659584,P
20.0,3.997916666666667,1.0,52.0,88.0,18.599183673469387,1.6709659863945767,4/4,4,4,1,G,major,143.55468749999838,5.265843673469387,0.0051660426445765,0.0817865073125669,P
20.5,0.4979166666666667,1.0,71.0,88.0,18.808163265306124,0.2081088435374137,4/4,4,4,1,G,major,143.55468750000085,5.266489765306124,0.0006433997874137,0.0693846242951786,P
21.0,0.9979166666666668,1.0,71.0,88.0,19.017142857142854,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,5.267135857142858,0.0012894916241472,0.0864191417252639,P
21.0,0.4979166666666667,1.0,71.0,88.0,19.017142857142854,0.231232048374903,4/4,4,4,1,G,major,129.19921875000142,5.267135857142858,0.0237666046249029,0.0954003683009808,F
21.5,0.4979166666666667,1.0,71.0,88.0,19.24934240362812,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,5.291001903628116,0.0006433997874172,0.079195531061786,P
22.0,0.9979166666666668,1.0,70.0,88.0,19.458321995464853,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,5.291647995464853,0.0012894916241543,0.0741492879657234,P
