Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS,Nominal
0.0,0.9979166666666668,1.0,83.0,49.0,1.1377777777777778,0.9963779289493576,4/4,4,4,1,G,major,60.09265988372093,1.1377777777777778,0.3310998185326907,0.035894340977807,N
1.0,0.9979166666666668,1.0,79.0,49.0,2.136235827664399,0.8341768707482997,4/4,4,4,1,G,major,71.77734374999996,1.469568827664399,0.1688987603316329,0.0440129943390826,P
2.0,0.9979166666666668,1.0,83.0,49.0,2.972154195011338,0.9732063492063492,4/4,4,4,1,G,major,61.523437500000014,1.638820195011338,0.3079282387896823,0.0206517711419938,P
3.0,0.9979166666666668,1.0,79.0,49.0,3.947392290249433,0.7414905517762663,4/4,4,4,1,G,major,80.74951171874997,1.947391290249433,0.0762124413595995,0.0408964554553,P
4.0,0.9979166666666668,1.0,81.0,49.0,4.690430839002268,1.2744368858654571,4/4,4,4,1,G,major,46.9815340909091,2.023762839002268,0.6091587754487904,0.0405058223320843,P
5.0,0.9979166666666668,1.0,76.0,49.0,5.9675283446712015,0.7646621315192748,4/4,4,4,1,G,major,78.30255681818178,2.6341933446712016,0.099384021102608,0.0312102263624189,P
6.0,0.9979166666666668,1.0,81.0,49.0,6.733786848072563,0.9500347694633418,4/4,4,4,1,G,major,63.024009146341406,2.7337848480725624,0.284756659046675,0.0419029930608173,P
7.0,0.9979166666666668,1.0,76.0,49.0,7.685804988662132,0.9732063492063484,4/4,4,4,1,G,major,61.52343750000006,3.019135988662132,0.3079282387896817,0.0529750601587059,P
8.0,0.9979166666666668,1.0,78.0,49.0,8.661043083900227,0.8805200302343159,4/4,4,4,1,G,major,67.99958881578948,3.3277070839002265,0.2152419198176491,0.0453378562765578,P
9.0,0.9979166666666668,1.0,74.0,49.0,9.543401360544218,1.0427210884353753,4/4,4,4,1,G,major,57.42187499999994,3.5433983605442174,0.3774429780187085,0.0500258176669336,P
10.0,1.9979166666666663,1.0,78.0,49.0,10.588299319727891,1.7164867724867712,4/4,4,4,1,G,major,69.83741554054059,3.921629319727892,0.3845416620701045,0.0279237155009843,P
11.0,0.9979166666666668,1.0,67.0,49.0,11.447437641723356,0.8110052910052913,4/4,4,4,1,G,major,73.82812499999997,4.114100641723356,0.1457271805886245,0.0227718287201301,P
12.0,0.9979166666666668,1.0,76.0,49.0,12.26013605442177,0.926863189720334,4/4,4,4,1,G,major,64.59960937499989,4.260132054421769,0.2615850793036673,0.033649715153804,P
13.0,0.9979166666666668,1.0,72.0,49.0,13.188934240362812,0.9036916099773228,4/4,4,4,1,G,major,66.25600961538471,4.522263240362813,0.238413499560656,0.0489450177194617,P
14.0,1.9979166666666663,1.0,76.0,49.0,14.094512471655328,1.948444444444444,4/4,4,4,1,G,major,61.5234375,4.761174471655329,0.6164993340277776,0.0364531954986264,P
15.0,0.9979166666666668,1.0,62.0,49.0,15.069750566893424,0.8805200302343159,4/4,4,4,1,G,major,67.99958881578948,5.069745566893424,0.2152419198176491,0.0268231889882269,P
16.0,0.4979166666666667,1.0,76.0,49.0,15.952108843537417,0.4855873015873007,4/4,4,4,1,G,major,61.52343750000012,5.285436843537415,0.153642691170634,0.0518888377608877,P
16.5,0.4979166666666667,1.0,72.0,54.0,16.439727891156462,0.6012033257747558,4/4,4,4,1,G,major,49.69200721153834,5.439722391156462,0.2692587153580891,0.0616277547966565,P
17.0,0.4979166666666667,1.0,67.0,60.0,17.04344671201814,0.3237248677248671,4/4,4,4,1,G,major,92.28515625000016,5.710107712018141,-0.0082197426917995,0.038044794566869,P
17.5,0.4979166666666667,1.0,62.0,65.0,17.368526077097506,0.3237248677248671,4/4,4,4,1,G,major,92.28515625000016,5.701853577097506,-0.0082197426917995,0.0391649710122673,P
18.0,0.4979166666666667,1.0,67.0,71.0,17.69360544217687,0.4624640967498121,4/4,4,4,1,G,major,64.59960937499984,5.69359944217687,0.1305194863331454,0.0628174855592379,P
18.5,0.4979166666666667,1.0,62.0,76.0,18.15800453514739,0.4624640967498132,4/4,4,4,1,G,major,64.59960937499969,5.824665035147392,0.1305194863331465,0.0539143179562428,P
19.0,0.4979166666666667,1.0,57.0,82.0,18.622403628117915,0.5780801209372629,4/4,4,4,1,G,major,51.67968750000008,5.955730628117916,0.2461355105205962,0.0610222052910262,P
19.5,0.4979166666666667,1.0,58.0,88.0,19.202902494331067,0.3468480725623563,4/4,4,4,1,G,major,86.13281250000048,6.202895994331067,0.0149034621456896,0.0291741657031835,P
20.0,3.997916666666667,1.0,52.0,88.0,19.55120181405896,1.6709659863945767,4/4,4,4,1,G,major,143.55468749999838,6.217861814058956,0.0051660426445765,0.0415306862133196,P
20.5,0.4979166666666667,1.0,71.0,88.0,19.760181405895693,1.017421012849583,4/4,4,4,1,G,major,29.36345880681822,6.218507905895693,0.8099555690995831,0.0413610616208744,P
21.0,0.9979166666666668,1.0,71.0,88.0,20.78185941043084,2.039099017384729,4/4,4,4,1,G,major,29.363458806818223,7.03185241043084,1.623300073634729,0.0488642671552823,P
21.0,0.4979166666666667,1.0,71.0,88.0,20.78185941043084,0.2081088435374137,4/4,4,4,1,G,major,143.55468750000085,7.03185241043084,0.0006433997874137,0.0339683280934986,P
21.5,0.4979166666666667,1.0,71.0,88.0,20.99083900226757,0.2081088435374137,4/4,4,4,1,G,major,143.55468750000085,7.032498502267574,0.0006433997874137,0.0435007723615276,P
22.0,0.9979166666666668,1.0,70.0,88.0,21.199818594104308,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,7.033144594104307,0.0012894916241472,0.0673739964489765,P
22.0,0.4979166666666667,1.0,70.0,88.0,21.199818594104308,0.5780801209372628,4/4,4,4,1,G,major,51.679687500000085,7.033144594104307,0.3706146771872628,0.063164909923701,P
22.5,0.4979166666666667,1.0,71.0,88.0,21.78031746031746,0.2081088435374173,4/4,4,4,1,G,major,143.5546874999984,7.405309960317458,0.0006433997874172,0.0380149567929193,P
23.0,0.9979166666666668,1.0,71.0,88.0,21.9892970521542,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,7.405956052154195,0.0012894916241543,0.0495834557987426,P
23.0,0.4979166666666667,1.0,71.0,88.0,21.9892970521542,0.4624640967498134,4/4,4,4,1,G,major,64.59960937499967,7.405956052154195,0.2549986529998134,0.0484601955646218,P
