Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS
0.0,0.9979166666666667,1.0,83.0,49.0,0.9520181405895691,0.8573484504913077,4/4,4,4,1,G,major,69.83741554054053,0.9520181405895691,0.19207034007464097,0.013986243138140859
1.0,0.9979166666666667,1.0,79.0,49.0,1.811156462585034,0.6256326530612247,4/4,4,4,1,G,major,95.70312499999997,1.144489462585034,-0.039645457355442004,0.010458724084478664
2.0,0.9979166666666667,1.0,83.0,49.0,2.4380952380952383,0.9036916099773241,4/4,4,4,1,G,major,66.25600961538463,1.1047612380952383,0.23841349956065738,0.014016271553430668
3.0,0.9979166666666667,1.0,79.0,49.0,3.3436734693877552,0.6488042328042329,4/4,4,4,1,G,major,92.28515624999999,1.343672469387755,-0.016473877612433796,0.013069386483045092
4.0,0.9979166666666667,1.0,81.0,49.0,3.9938321995464854,0.7183189720332576,4/4,4,4,1,G,major,83.35433467741937,1.3271641995464853,0.05304086161659083,0.01241598407256672
5.0,0.9979166666666667,1.0,76.0,49.0,4.713650793650793,0.6719758125472413,4/4,4,4,1,G,major,89.1029094827586,1.3803157936507935,0.006697702130574523,0.004803066244941901
6.0,0.9979166666666667,1.0,81.0,49.0,5.38702947845805,0.8341768707482995,4/4,4,4,1,G,major,71.77734374999999,1.3870274784580499,0.16889876033163276,0.01732643160505381
7.0,0.9979166666666667,1.0,76.0,49.0,6.222947845804988,0.6719758125472413,4/4,4,4,1,G,major,89.1029094827586,1.5562788458049885,0.006697702130574523,0.01111980299377267
8.0,0.9979166666666667,1.0,78.0,49.0,6.896326530612245,0.7183189720332571,4/4,4,4,1,G,major,83.35433467741943,1.562990530612245,0.053040861616590385,0.017193381425090602
9.0,0.9979166666666667,1.0,74.0,49.0,7.616145124716553,0.6719758125472413,4/4,4,4,1,G,major,89.1029094827586,1.6161421247165526,0.006697702130574523,0.008929361667322453
10.0,1.9979166666666666,1.0,78.0,49.0,8.289523809523809,1.623703703703704,4/4,4,4,1,G,major,73.82812499999997,1.622853809523809,0.29175859328703746,0.01212508065024862
