OnSet desviation,Nominal_OD
0.0,none
0.238911231292517,adv
0.0830832335600908,none
0.1130148730158731,adv
-0.0660330793650794,none
-0.0593213945578225,none
-0.1454895283446715,del
-0.1619977981859408,del
-0.2017260226757367,del
-0.1950143378684812,del
-0.1883026530612239,del
-0.204810922902495,del
-0.4070788299319732,del
-0.3539272358276637,del
-0.3704355056689348,del
-0.3637238208616793,del
-0.4034520453514751,del
-0.4117061802721107,del
-0.3967403605442197,del
-0.4049944954648534,del
-0.4829084943310668,del
-0.7930220396825405,del
-0.8012761746031742,del
-0.9488500374149657,del
-1.0035440816326542,del
-1.002897989795919,del
-1.0254718526077102,del
-1.0254718526077102,del
-1.0480457154195015,del
-1.047399623582768,del
-1.047399623582768,del
-1.1860732596371903,del
-1.185427167800455,del
-1.185427167800455,del
-1.184781075963718,del
-1.2073549387755111,del
-1.206708846938776,del
-1.2525026643990935,del
-1.2525026643990935,del
-1.3679563458049897,del
-1.3673102539682542,del
-1.3673102539682542,del
-1.3666641621315208,del
-1.3660180702947835,del
-1.3660180702947835,del
-1.365371978458052,del
-1.41116579591837,del
-1.5033995226757373,del
-1.688513068027211,del
-1.688513068027211,del
-1.85040665873016,del
-1.8497605668934245,del
-1.8497605668934245,del
-1.8955543843537388,del
-1.918128247165532,del
-1.918128247165532,del
-1.9174821553287984,del
-1.9632759727891165,del
-2.0787296541950084,del
-2.12452347165533,del
-2.12452347165533,del
-2.1238773798185946,del
-2.123231287981856,del
-2.123231287981856,del
-2.122585196145124,del
-2.121939104308389,del
-2.121939104308389,del
-2.1212930124716536,del
-2.1206469206349183,del
-2.1896606927437645,del
-2.258674464852607,del
-2.258674464852607,del
-2.258028373015872,del
-2.2573822811791366,del
-2.2573822811791366,del
-2.256736189342405,del
-2.256090097505666,del
-2.256090097505666,del
-2.2554440056689344,del
-2.254797913832199,del
-2.254151821995464,del
-2.2535057301587287,del
-2.2535057301587287,del
-2.252859638321993,del
-2.2754335011337865,del
-2.2754335011337865,del
-2.2747874092970517,del
-2.274141317460316,del
-2.274141317460316,del
-2.2734952256235808,del
-2.040649587301587,del
-2.039357403628117,del
-2.039357403628117,del
-2.039357403628117,del
-2.039357403628117,del
-2.0380652199546496,del
-2.0380652199546496,del
-2.0380652199546496,del
-2.0380652199546496,del
-1.642033807256233,del
-1.642033807256233,del
-1.642033807256233,del
-1.642033807256233,del
-1.6407416235827623,del
-1.4536898027210867,del
-1.4536898027210867,del
-1.4536898027210867,del
-1.4536898027210867,del
-1.4523976190476162,del
-1.4523976190476162,del
-1.4523976190476162,del
-1.4523976190476162,del
-1.4511054353741493,del
-1.4511054353741493,del
-1.4511054353741493,del
-1.4511054353741493,del
-0.96219420408163,del
-0.682262564625848,del
-0.682262564625848,del
-0.682262564625848,del
-0.682262564625848,del
-0.6577504263038563,del
-0.6577504263038563,del
-0.6577504263038563,del
-0.6577504263038563,del
-0.6564582426303858,del
-0.6564582426303858,del
-0.6564582426303858,del
-0.6564582426303858,del
-0.2604268299319727,del
-0.1198149183673464,del
-0.1198149183673464,del
-0.1198149183673464,del
-0.1198149183673464,del
-0.1185227346938759,del
-0.1185227346938759,del
-0.1185227346938759,del
-0.1185227346938759,del
0.3007286326530618,adv
0.3007286326530618,adv
0.3007286326530618,adv
0.3007286326530618,adv
0.4645604988662164,adv
0.6993444126984159,adv
0.6993444126984159,adv
