OnSet desviation,Nominal_OD
0.0,none
-0.2786394557823128,del
-0.1160997732426305,del
-0.4179591836734695,del
-0.5108390022675735,del
-0.5340589569161005,del
-0.7894784580498864,del
-0.8591383219954647,del
-1.1145578231292523,del
-1.184217687074831,del
-1.3699773242630382,del
-1.4860770975056692,del
-1.439637188208616,del
-1.6021768707483002,del
-1.5789569160997718,del
-1.555736961451247,del
-1.625396825396825,del
-1.3467573696145116,del
-1.4860770975056692,del
-1.4860770975056692,del
-1.5325170068027203,del
-1.6718367346938765,del
-1.741496598639456,del
-1.8575963718820847,del
-1.9040362811791385,del
-1.9040362811791365,del
-1.90403628117914,del
-1.90403628117914,del
-1.9040362811791385,del
-1.9040362811791385,del
-1.9040362811791385,del
-1.9040362811791365,del
-1.9040362811791385,del
-1.9040362811791385,del
-1.9040362811791385,del
-1.9040362811791385,del
-1.9040362811791365,del
-1.8808163265306133,del
-1.8808163265306133,del
-1.8808163265306133,del
-1.9040362811791347,del
-1.9040362811791347,del
-1.927256235827663,del
-1.927256235827663,del
-1.927256235827663,del
-1.927256235827663,del
-1.9272562358276664,del
-1.88081632653061,del
-1.811156462585032,del
-1.811156462585032,del
-1.811156462585032,del
-1.811156462585036,del
-1.811156462585036,del
-1.811156462585032,del
-1.811156462585032,del
-1.811156462585032,del
-1.811156462585036,del
-1.811156462585036,del
-1.7879365079365073,del
-1.7879365079365073,del
-1.7879365079365073,del
-1.7879365079365073,del
-1.7879365079365073,del
-1.7879365079365073,del
-1.7879365079365073,del
-1.7879365079365073,del
-1.7879365079365073,del
-1.7879365079365073,del
-1.7879365079365073,del
-1.7414965986394542,del
-1.7414965986394575,del
-1.7414965986394575,del
-1.7414965986394542,del
-1.7414965986394542,del
-1.7414965986394542,del
-1.7414965986394575,del
-1.7414965986394542,del
-1.7414965986394542,del
-1.7414965986394542,del
-1.7414965986394575,del
-1.6486167800453515,del
-1.4628571428571426,del
-1.4628571428571426,del
-1.4628571428571426,del
-1.4628571428571426,del
-1.4628571428571426,del
-1.4628571428571426,del
-1.439637188208618,del
-1.439637188208618,del
-1.207437641723356,del
-1.207437641723356,del
-1.2306575963718809,del
-1.2306575963718809,del
-1.2306575963718809,del
-1.2306575963718809,del
-1.2306575963718842,del
-1.2306575963718842,del
-1.2306575963718842,del
-1.2306575963718842,del
-1.3467573696145116,del
-1.3467573696145116,del
-1.3467573696145116,del
-1.3467573696145116,del
-1.3467573696145116,del
-1.4628571428571426,del
-1.4628571428571426,del
-1.4628571428571426,del
-1.4628571428571426,del
-1.4628571428571426,del
-1.4628571428571426,del
-1.4628571428571426,del
-1.4628571428571426,del
-1.5092970521541955,del
-1.5092970521541955,del
-1.5092970521541955,del
-1.5092970521541955,del
-1.5092970521541922,del
-1.5092970521541955,del
-1.5092970521541955,del
-1.5092970521541955,del
-1.5092970521541955,del
-1.5092970521541955,del
-1.5092970521541955,del
-1.5092970521541955,del
-1.5092970521541955,del
-1.4164172335600895,del
-1.4164172335600895,del
-1.4164172335600895,del
-1.4164172335600895,del
-1.416417233560093,del
-1.3931972789115648,del
-1.3931972789115648,del
-1.3931972789115648,del
-1.3931972789115648,del
-1.2770975056689338,del
-1.2770975056689338,del
-1.2770975056689338,del
-1.2770975056689338,del
-1.2306575963718809,del
-1.2306575963718809,del
-1.2306575963718809,del
-1.2306575963718809,del
-0.8823582766439877,del
1.7182766439909294,adv
1.7182766439909294,adv
