OnSet desviation,Nominal_OD
0.0,none
-0.0254093343534812,none
-0.0247307398034253,none
-0.0248543346477546,none
-0.0249449708669295,none
-0.0311853334118062,none
-0.0389270790418457,none
-0.0390424342298864,none
-0.045282796774763,none
-0.050753928550409,none
-0.0485657112589017,none
-0.0586233888529221,none
-0.0587181449002412,none
-0.0596027308575127,none
-0.061244188099582,none
-0.0613636631157671,none
-0.06530457300924,none
-0.0653622506032604,none
-0.0661891589665116,none
-0.0670119475016184,none
-0.0731699134836089,none
-0.0785627685245129,none
-0.0824336413395326,none
-0.0863045141545524,none
-0.086366311576717,none
-0.0864033900300158,none
-0.0864404684833146,none
-0.0864404684833146,none
-0.0864775469366135,none
-0.0865146253899122,none
-0.0865146253899122,none
-0.0865517038432111,none
-0.0865887822965099,none
-0.0865887822965099,none
-0.0866258607498086,none
-0.0866588193749631,none
-0.0866958978282619,none
-0.0867329762815607,none
-0.0867329762815607,none
-0.0867700547348596,none
-0.0875722441292449,none
-0.0875722441292449,none
-0.0891395444647165,none
-0.0930021776234478,none
-0.0930021776234478,none
-0.0930392560767464,none
-0.0930763345300452,none
-0.0923441822141133,none
-0.0938908834088634,none
-0.0938908834088634,none
-0.0946930728032487,none
-0.0947301512565476,none
-0.0947301512565476,none
-0.0947672297098461,none
-0.0948043081631451,none
-0.0948043081631451,none
-0.0948413866164439,none
-0.0964086869519157,none
-0.0964457654052144,none
-0.0964828438585133,none
-0.0964828438585133,none
-0.0965199223118121,none
-0.0965570007651109,none
-0.0965570007651109,none
-0.0965940792184096,none
-0.0966311576717086,none
-0.0966311576717086,none
-0.0966682361250073,none
-0.0967053145783062,none
-0.0967423930316049,none
-0.0967794714849037,none
-0.0967794714849037,none
-0.0968165499382026,none
-0.0968536283915013,none
-0.0968536283915013,none
-0.0968907068448001,none
-0.0969277852980988,none
-0.0969277852980988,none
-0.0969648637513977,none
-0.0970019422046966,none
-0.0970390206579954,none
-0.0978412100523807,none
-0.0978412100523807,none
-0.0986351597904772,none
-0.0986681184156317,none
-0.0986681184156317,none
-0.0987051968689305,none
-0.0987422753222294,none
-0.0987422753222294,none
-0.0987793537755282,none
-0.0988164322288269,none
-0.0988988287917133,none
-0.0988988287917133,none
-0.0988988287917133,none
-0.0988988287917133,none
-0.0989729856983108,none
-0.0989729856983108,none
-0.0989729856983108,none
-0.0989729856983108,none
-0.0990471426049085,none
-0.0990471426049085,none
-0.0990471426049085,none
-0.0990471426049085,none
-0.0991212995115059,none
-0.0991954564181037,none
-0.0991954564181037,none
-0.0991954564181037,none
-0.0991954564181037,none
-0.0992696133247013,none
-0.0992696133247013,none
-0.0992696133247013,none
-0.0992696133247013,none
-0.0993437702312988,none
-0.0993437702312988,none
-0.0993437702312988,none
-0.0993437702312988,none
-0.1024948502148195,del
-0.1025690071214172,del
-0.1025690071214172,del
-0.1025690071214172,del
-0.1025690071214172,del
-0.1026431640280147,del
-0.1026431640280147,del
-0.1026431640280147,del
-0.1026431640280147,del
-0.1065428756400447,del
-0.1065428756400447,del
-0.1065428756400447,del
-0.1065428756400447,del
-0.1089247248543346,del
-0.109768112530163,del
-0.109768112530163,del
-0.109768112530163,del
-0.109768112530163,del
-0.1098422694367605,del
-0.1098422694367605,del
-0.1098422694367605,del
-0.1098422694367605,del
-0.1099164263433583,del
-0.1099164263433583,del
-0.1099164263433583,del
-0.1099164263433583,del
-0.1115537637572832,del
-0.0328997704667176,none
-0.0328997704667176,none
