OnSet desviation,Nominal_OD
0.0,none
0.0132448509026252,none
0.0079437077399685,none
0.0085772826782021,none
0.0032761395155454,none
-0.0027668434097224,none
-0.0154863841984919,none
-0.0163364887854808,none
-0.0223794717107488,none
-0.0284224546360167,none
-0.0285307194603945,none
-0.0397665807239413,none
-0.0443258841239867,none
-0.0451759887109757,none
-0.0482516125857985,none
-0.0483598774101763,none
-0.0529191808102216,none
-0.0533442331037161,none
-0.0537692853972107,none
-0.0549361774533164,none
-0.0650051466607575,none
-0.0743322761055872,none
-0.080692046499972,none
-0.0870518168943567,none
-0.0867350294252399,none
-0.0868152291950469,none
-0.0868954289648538,none
-0.0868954289648538,none
-0.0869756287346608,none
-0.0870558285044676,none
-0.0870558285044676,none
-0.0871360282742746,none
-0.0872162280440815,none
-0.0872162280440815,none
-0.0872964278138883,none
-0.0881184673463065,none
-0.0881986671161134,none
-0.0882788668859204,none
-0.0882788668859204,none
-0.0883590666557274,none
-0.0891811061881455,none
-0.0891811061881455,none
-0.090744985483175,none
-0.0945343840660382,none
-0.0945343840660382,none
-0.0946145838358452,none
-0.0946947836056521,none
-0.0947749833754591,none
-0.1000480614835448,del
-0.1000480614835448,del
-0.1008701010159631,del
-0.10095030078577,del
-0.10095030078577,del
-0.1010305005555768,del
-0.1011107003253837,del
-0.1011107003253837,del
-0.1011909000951907,del
-0.1027547793902202,del
-0.102834979160027,del
-0.102915178929834,del
-0.102915178929834,del
-0.102995378699641,del
-0.1030755784694478,del
-0.1030755784694478,del
-0.1031557782392547,del
-0.1032359780090618,del
-0.1032359780090618,del
-0.1033161777788685,del
-0.1033963775486753,del
-0.1034765773184824,del
-0.1035567770882893,del
-0.1035567770882893,del
-0.1036369768580962,del
-0.1037171766279031,del
-0.1037171766279031,del
-0.1037973763977101,del
-0.1038775761675169,del
-0.1038775761675169,del
-0.1039577759373239,del
-0.1040379757071308,del
-0.1041181754769379,del
-0.1049402150093559,del
-0.1049402150093559,del
-0.1072459340669965,del
-0.1080679735994147,del
-0.1080679735994147,del
-0.1081481733692216,del
-0.1082283731390287,del
-0.1082283731390287,del
-0.1083085729088355,del
-0.1083887726786425,del
-0.1070654926930338,del
-0.1070654926930338,del
-0.1070654926930338,del
-0.1070654926930338,del
-0.1072258922326476,del
-0.1072258922326476,del
-0.1072258922326476,del
-0.1072258922326476,del
-0.1073862917722613,del
-0.1073862917722613,del
-0.1073862917722613,del
-0.1073862917722613,del
-0.1075466913118751,del
-0.1077070908514891,del
-0.1077070908514891,del
-0.1077070908514891,del
-0.1077070908514891,del
-0.1078674903911028,del
-0.1078674903911028,del
-0.1078674903911028,del
-0.1078674903911028,del
-0.1080278899307166,del
-0.1080278899307166,del
-0.1080278899307166,del
-0.1080278899307166,del
-0.1081882894703305,del
-0.1083486890099444,del
-0.1083486890099444,del
-0.1083486890099444,del
-0.1083486890099444,del
-0.1085090885495583,del
-0.1085090885495583,del
-0.1085090885495583,del
-0.1085090885495583,del
-0.1123786869022285,del
-0.1123786869022285,del
-0.1123786869022285,del
-0.1123786869022285,del
-0.1125390864418423,del
-0.1126994859814561,del
-0.1126994859814561,del
-0.1126994859814561,del
-0.1126994859814561,del
-0.1128598855210698,del
-0.1128598855210698,del
-0.1128598855210698,del
-0.1128598855210698,del
-0.1130202850606837,del
-0.1130202850606837,del
-0.1130202850606837,del
-0.1130202850606837,del
-0.1087296460246298,del
-0.0318991097922849,none
-0.0318991097922849,none
