OnSet desviation,Nominal_OD
0.0,none
-0.0262966008072169,none
-0.0153744783659125,none
-0.0088084160041167,none
-0.0030887966481969,none
0.0053303920555169,none
0.0077183268179884,none
0.0187741513644312,none
0.0241821361350285,none
0.0301780057762342,none
0.0371717126784726,none
0.0453411893219281,none
0.046856142853496,none
0.0566113416285927,none
0.0621707206543467,none
0.073369093380937,none
0.0735745750661496,none
0.0759890480536487,none
0.0739049127814915,none
0.075900587303557,none
0.0726849126652289,none
0.0651131779473921,none
0.0610156760031511,none
0.0547357209816514,none
0.053978749705868,none
0.0541036057359971,none
0.0377932126341159,none
0.0377932126341159,none
0.0373390298686458,none
0.0386219634899737,none
0.0386219634899737,none
0.0288677756948781,none
0.0295716705206066,none
0.0295716705206066,none
0.0243160909851671,none
0.0107848819061623,none
0.0104732473208397,none
0.0113196903267158,none
0.0113196903267158,none
0.0029998304081048,none
0.0034097827985291,none
0.0034097827985291,none
-0.0062195489664372,none
-0.0114839745768858,none
-0.0114839745768858,none
-0.0113591185467567,none
-0.012392340107826,none
-0.0134255616688954,none
-0.0182269584388649,none
-0.0182269584388649,none
-0.0336555242348334,none
-0.0323725906135056,none
-0.0323725906135056,none
-0.0385099974548578,none
-0.03722706383353,none
-0.03722706383353,none
-0.0389995645203645,none
-0.048468655955165,none
-0.0544458224663514,none
-0.0543209664362222,none
-0.0543209664362222,none
-0.0646630391019262,none
-0.0633801054805984,none
-0.0633801054805984,none
-0.0716911193242003,none
-0.071566263294071,none
-0.071566263294071,none
-0.0801712195729772,none
-0.0788882859516493,none
-0.0805005463083181,none
-0.0838499230517846,none
-0.0838499230517846,none
-0.0956528618190006,none
-0.0943699281976728,none
-0.0943699281976728,none
-0.1013803162699288,del
-0.1000973826486006,del
-0.1000973826486006,del
-0.1075442613363083,del
-0.1068403665105797,del
-0.105557432889252,del
-0.104274499267924,del
-0.104274499267924,del
-0.1139038310328904,del
-0.1127634455917101,del
-0.1127634455917101,del
-0.117591380586707,del
-0.1163084469653792,del
-0.1163084469653792,del
-0.1150255133440515,del
-0.1046293532482914,del
-0.1047531982984194,del
-0.1047531982984194,del
-0.1047531982984194,del
-0.1047531982984194,del
-0.1021873310557639,del
-0.1021873310557639,del
-0.1021873310557639,del
-0.1021873310557639,del
-0.0972866055006916,none
-0.0972866055006916,none
-0.0972866055006916,none
-0.0972866055006916,none
-0.0947207382580359,none
-0.0916023704448084,none
-0.0916023704448084,none
-0.0916023704448084,none
-0.0916023704448084,none
-0.0890365032021527,none
-0.0890365032021527,none
-0.0890365032021527,none
-0.0890365032021527,none
-0.0864706359594972,none
-0.0864706359594972,none
-0.0864706359594972,none
-0.0864706359594972,none
-0.0788172646065759,none
-0.0741131746617071,none
-0.0741131746617071,none
-0.0741131746617071,none
-0.0741131746617071,none
-0.0694179307918475,none
-0.0694179307918475,none
-0.0694179307918475,none
-0.0694179307918475,none
-0.072535287625074,none
-0.072535287625074,none
-0.072535287625074,none
-0.072535287625074,none
-0.0639381664411761,none
-0.0545929200565037,none
-0.0545929200565037,none
-0.0545929200565037,none
-0.0545929200565037,none
-0.0543785922962818,none
-0.0543785922962818,none
-0.0543785922962818,none
-0.0543785922962818,none
-0.0518127250536261,none
-0.0518127250536261,none
-0.0518127250536261,none
-0.0518127250536261,none
-0.0376385326939558,none
-0.0283729009843659,none
-0.0283729009843659,none
